page,block,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,"Comprehensive Guide to Restaurants and Hotels in the South of France",12.00,7.39,370.66,68,72.00,83.88,442.66,91.27,true,false
1,1,"Introduction",12.00,7.39,67.72,12,72.00,109.02,139.72,116.41,true,false
1,2,"The South of France known for its stunning landscapes rich cultural heritage and exquisite cuisine is a dream destination for travelers. From the glamorous beaches of the French Riviera to the charming villages of Provence this region oﬀers a diverse array of experiences. Whether you're looking for budget-friendly options family-friendly spots upscale dining or luxurious experiences this guide will help you find the perfect restaurants and hotels for your trip.",12.00,92.88,467.84,465,72.00,133.98,539.84,226.86,false,false
1,3,"",12.00,8.19,3.34,0,72.00,244.62,75.34,252.81,false,false
1,4,"",12.00,7.38,2.77,0,216.00,244.62,218.77,252.00,false,false
2,0,"Restaurants",12.00,7.39,64.42,11,72.00,83.88,136.42,91.27,true,false
2,1,"Budget-Friendly Restaurants",12.00,7.39,151.00,27,72.00,109.02,223.00,116.41,true,false
2,2,"• Chez Pipo (Nice): Famous for its socca a traditional Niçoise chickpea pancake this casual eatery oﬀers delicious and aﬀordable local dishes. The rustic ambiance and friendly service make it a favorite among locals and tourists alike.",11.98,41.58,430.88,235,90.00,133.98,520.88,175.56,false,false
2,3,"• La Merenda (Nice): A small cozy restaurant serving authentic Niçoise cuisine. The",11.95,7.38,428.66,83,90.00,193.32,518.66,200.70,false,false
2,4,"menu changes with the seasons ensuring fresh and flavorful dishes. Reservations are a must due to its popularity and limited seating.",12.00,24.48,434.72,133,108.00,210.42,542.72,234.90,false,false
2,5,"• Chez Etienne (Marseille): Known for its simple yet delicious pizzas and grilled meats",11.96,7.38,442.39,87,90.00,252.60,532.39,259.98,false,false
2,6,"this family-owned restaurant is a local favorite. The lively atmosphere and hearty portions make it a great spot for a casual meal.",12.00,24.48,406.58,131,108.00,269.70,514.58,294.18,false,false
2,7,"• Le Bistrot du Paradou (Paradou): A charming bistro oﬀering a daily fixed menu with hearty Provençal dishes at reasonable prices. The warm welcoming environment and generous servings make it a must-visit.",11.98,41.58,447.61,205,90.00,311.88,537.61,353.46,false,false
2,8,"• Le Comptoir du Marché (Nice): This bistro oﬀers a variety of traditional French dishes at aﬀordable prices. The cozy atmosphere and friendly staﬀ make it a great spot for a casual meal.",11.98,41.58,444.80,187,90.00,371.16,534.80,412.74,false,false
2,9,"• Le Petit Nice (Marseille): A budget-friendly option oﬀering a variety of seafood dishes.",11.96,7.38,449.53,90,90.00,430.44,539.53,437.82,false,false
2,10,"The relaxed setting and fresh ingredients make it a popular choice.",12.00,7.38,333.37,67,108.00,447.54,441.37,454.92,false,false
2,11,"• Le Café de Turin (Nice): Known for its seafood this café oﬀers a variety of aﬀordable",11.96,7.38,439.69,87,90.00,472.68,529.69,480.06,false,false
2,12,"dishes in a lively setting. The fresh oysters are a must-try.",12.00,7.38,286.27,61,108.00,489.78,394.27,497.16,false,false
2,13,"• Le Panier (Marseille): A casual eatery oﬀering a variety of Mediterranean dishes at reasonable prices. The outdoor seating and friendly service make it a great spot for a relaxed meal.",11.98,41.58,441.56,186,90.00,514.86,531.56,556.44,false,false
2,14,"• Le Bistrot Gourmand (Cannes): This bistro oﬀers a variety of traditional French dishes at aﬀordable prices. The cozy atmosphere and friendly staﬀ make it a great spot for a casual meal.",11.98,41.58,445.10,187,90.00,574.14,535.10,615.72,false,false
2,15,"• Le Petit Pontoise (Paris): A charming bistro oﬀering a variety of traditional French",11.95,7.38,425.54,86,90.00,633.42,515.54,640.80,false,false
2,16,"dishes at reasonable prices. The cozy atmosphere and friendly service make it a great spot for a casual meal.",12.00,24.48,427.28,109,108.00,650.52,535.28,675.00,false,false
2,17,"",12.00,8.19,3.34,0,72.00,692.70,75.34,700.89,false,false
2,18,"",12.00,7.38,2.77,0,216.00,692.70,218.77,700.08,false,false
3,0,"Family-Friendly Restaurants",12.00,7.39,148.78,27,72.00,83.88,220.78,91.27,true,false
3,1,"• Club 55 (Saint-Tropez): This iconic beach club oﬀers a relaxed family-friendly atmosphere with a menu featuring fresh seafood and Mediterranean dishes. The beachside location and casual vibe make it perfect for families.",11.98,41.58,420.44,222,90.00,108.90,510.44,150.48,false,false
3,2,"• Le Safari (Nice): Located in the heart of the old town this restaurant oﬀers a diverse menu with options for both adults and children. The lively setting and outdoor seating make it a great spot for a family meal.",11.99,41.58,449.30,215,90.00,168.18,539.30,209.76,false,false
3,3,"• La Table du Marché (Saint-Rémy-de-Provence): A welcoming restaurant with a varied",11.95,7.38,448.81,83,90.00,227.46,538.81,234.84,false,false
3,4,"menu that includes kid-friendly options and fresh local ingredients. The charming setting and friendly staﬀ ensure a pleasant dining experience for families.",12.00,24.48,410.17,157,108.00,244.56,518.17,269.04,false,false
3,5,"• Le Grill (Decize): A family-friendly restaurant oﬀering a variety of grilled meats and classic French dishes in a casual setting. The relaxed atmosphere and extensive menu cater to all ages.",11.99,41.58,445.27,192,90.00,286.74,535.27,328.32,false,false
3,6,"• Le Jardin de Benjamin (Lorgues): This restaurant oﬀers a variety of dishes made with fresh local ingredients. The outdoor seating and kid-friendly menu make it a great spot for families.",11.98,41.58,441.49,188,90.00,346.02,531.49,387.60,false,false
3,7,"• Le Petit Jardin (Montpellier): A family-friendly restaurant oﬀering a variety of",11.95,7.38,403.34,82,90.00,405.36,493.34,412.74,false,false
3,8,"Mediterranean dishes. The outdoor seating and relaxed atmosphere make it a great spot for a family meal.",12.00,24.48,418.52,104,108.00,422.46,526.52,446.94,false,false
3,9,"• Le Café de la Plage (Arcachon): This beachfront café oﬀers a variety of seafood dishes and kid-friendly options. The relaxed setting and beautiful views make it a great spot for families.",11.98,41.58,446.42,189,90.00,464.64,536.42,506.22,false,false
3,10,"• Le Petit Nice (Marseille): A family-friendly restaurant oﬀering a variety of seafood",11.95,7.38,426.13,86,90.00,523.92,516.13,531.30,false,false
3,11,"dishes. The relaxed setting and fresh ingredients make it a popular choice.",12.00,7.38,370.33,75,108.00,541.02,478.33,548.40,false,false
3,12,"• Le Jardin des Sens (Montpellier): This restaurant oﬀers a variety of dishes made with fresh local ingredients. The outdoor seating and kid-friendly menu make it a great spot for families.",11.98,41.58,440.29,189,90.00,566.10,530.29,607.68,false,false
3,13,"• Le Café des Arts (Nice): A family-friendly café oﬀering a variety of dishes and kid- friendly options. The relaxed setting and friendly service make it a great spot for a family meal.",11.98,41.58,426.55,185,90.00,625.38,516.55,666.96,false,false
3,14,"",12.00,8.19,3.34,0,72.00,684.72,75.34,692.91,false,false
3,15,"",12.00,7.38,2.77,0,216.00,684.72,218.77,692.10,false,false
4,0,"Upscale Restaurants",12.00,7.39,108.22,19,72.00,83.88,180.22,91.27,true,false
4,1,"• AM by Alexandre Mazzia (Marseille): A two-Michelin-starred restaurant oﬀering a fine-dining experience with innovative dishes inspired by Mediterranean flavors. The artistic presentation and unique flavor combinations make it a culinary adventure.",11.98,41.58,442.03,249,90.00,108.90,532.03,150.48,false,false
4,2,"• Le Mirazur (Menton): Ranked among the world's best restaurants Le Mirazur oﬀers a",11.95,7.38,444.97,83,90.00,168.18,534.97,175.56,false,false
4,3,"unique dining experience with a focus on fresh local ingredients and innovative dishes. The stunning views of the Mediterranean add to the allure.",12.00,24.48,399.49,146,108.00,185.28,507.49,209.76,false,false
4,4,"• La Chèvre d'Or (Èze): Located in a medieval village this two-Michelin-starred",11.95,7.38,407.29,79,90.00,227.46,497.29,234.84,false,false
4,5,"restaurant serves refined Provençal cuisine with breathtaking views of the French Riviera. The elegant setting and impeccable service make it a memorable dining experience.",12.00,41.58,407.12,172,108.00,244.56,515.12,286.14,false,false
4,6,"• Hostellerie de Jérôme (La Turbie): A two-Michelin-starred restaurant oﬀering",11.95,7.38,405.49,78,90.00,303.84,495.49,311.22,false,false
4,7,"traditional French fare created from the very best local ingredients. The historic setting and exquisite dishes make it a must-visit for food enthusiasts.",12.00,24.48,432.50,154,108.00,320.94,540.50,345.42,false,false
4,8,"• Le Louis XV - Alain Ducasse (Monaco): A three-Michelin-starred restaurant oﬀering an",11.95,7.38,451.39,86,90.00,363.12,541.39,370.50,false,false
4,9,"opulent dining experience with a menu that celebrates the flavors of the Mediterranean. The lavish decor and exceptional service make it a dining experience to remember.",12.00,41.58,424.33,169,108.00,380.22,532.33,421.80,false,false
4,10,"• La Vague d'Or (Saint-Tropez): A three-Michelin-starred restaurant located in the",11.95,7.38,419.95,82,90.00,439.56,509.95,446.94,false,false
4,11,"luxurious Résidence de la Pinède oﬀering exquisite dishes inspired by the sea and the land. The serene setting and culinary excellence make it a top choice for fine dining.",12.00,24.48,429.91,172,108.00,456.60,537.91,481.08,false,false
4,12,"• Le Petit Nice Passedat (Marseille): A three-Michelin-starred restaurant oﬀering",11.95,7.38,412.21,81,90.00,498.84,502.21,506.22,false,false
4,13,"exquisite seafood dishes and stunning views of the Mediterranean. The creative menu and elegant ambiance make it a standout dining destination.",12.00,24.48,429.32,143,108.00,515.94,537.32,540.42,false,false
4,14,"• La Colombe d'Or (Saint-Paul-de-Vence): A historic restaurant and hotel that has hosted famous artists and celebrities oﬀering a luxurious dining experience with a focus on Provençal cuisine. The art-filled setting and gourmet dishes make it a unique experience.",11.99,58.68,446.71,263,90.00,558.12,536.71,616.80,false,false
4,15,"• Le Figuier de Saint-Esprit (Antibes): A Michelin-starred restaurant oﬀering a variety of dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",11.99,41.58,446.53,214,90.00,634.50,536.53,676.08,false,false
5,0,"• Le Park 45 (Cannes): A Michelin-starred restaurant oﬀering a variety of dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",11.98,41.58,446.77,197,90.00,83.76,536.77,125.34,false,false
5,1,"",12.00,8.19,3.34,0,72.00,143.04,75.34,151.23,false,false
5,2,"",12.00,7.38,2.77,0,216.00,143.04,218.77,150.42,false,false
