page,block,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,"Ultimate Guide to Activities and Things to Do in the South of France",12.00,7.39,352.60,68,72.00,83.88,424.60,91.27,true,false
1,1,"Introduction",12.00,7.39,67.72,12,72.00,109.02,139.72,116.41,true,false
1,2,"The South of France with its stunning coastline picturesque villages and vibrant cities oﬀers a wealth of activities and experiences for travelers. Whether you're seeking adventure relaxation or cultural enrichment this region has something for everyone. This guide will take you through a variety of activities and must-see attractions to help you plan an unforgettable trip.",12.00,75.78,466.03,376,72.00,133.98,538.03,209.76,false,false
1,3,"",12.00,8.59,3.34,0,72.00,227.64,75.34,236.23,true,false
1,4,"",12.00,7.39,2.74,0,216.00,227.64,218.74,235.03,true,false
2,0,"Coastal Adventures",12.00,7.39,103.90,18,72.00,83.88,175.90,91.27,true,false
2,1,"The South of France is renowned for its beautiful coastline along the Mediterranean Sea. Here are some activities to enjoy by the sea:",12.00,24.48,468.91,134,72.00,108.90,540.91,133.38,false,false
2,2,"Beach Hopping",12.00,7.39,81.70,13,72.00,151.20,153.70,158.59,true,false
2,3,"• Nice: Visit the sandy shores and enjoy the vibrant Promenade des Anglais.",11.95,7.39,390.49,75,90.00,176.34,480.49,183.73,false,false
2,4,"• Antibes: Relax on the pebbled beaches and explore the charming old town.",11.95,7.39,398.59,74,90.00,201.54,488.59,208.93,false,false
2,5,"• Saint-Tropez: Experience the exclusive beach clubs and glamorous atmosphere.",11.95,7.39,420.79,78,90.00,226.74,510.79,234.13,false,false
2,6,"• Marseille to Cassis: Explore the stunning limestone cliﬀs and hidden coves of",11.95,7.39,406.99,79,90.00,252.00,496.99,259.39,false,false
2,7,"Calanques National Park.",12.00,7.38,128.65,24,108.00,269.10,236.65,276.48,false,false
2,8,"• Îles d'Hyères: Discover pristine beaches and excellent snorkeling opportunities on",11.95,7.39,431.71,84,90.00,294.30,521.71,301.69,false,false
2,9,"islands like Porquerolles and Port-Cros.",12.00,7.38,199.63,40,108.00,311.40,307.63,318.78,false,false
2,10,"• Cannes: Enjoy the sandy beaches and luxury beach clubs along the Boulevard de la",11.95,7.39,436.64,82,90.00,336.60,526.64,343.99,false,false
2,11,"Croisette.",12.00,7.38,50.17,10,108.00,353.70,158.17,361.08,false,false
2,12,"• Menton: Visit the serene beaches and beautiful gardens in this charming town near",11.95,7.39,435.20,83,90.00,378.96,525.20,386.35,false,false
2,13,"the Italian border.",12.00,7.38,91.51,19,108.00,396.06,199.51,403.44,false,false
2,14,"Water Sports",12.00,7.39,69.94,12,72.00,421.26,141.94,428.65,true,false
2,15,"• Cannes Nice and Saint-Tropez: Try jet skiing or parasailing for a thrill.",11.95,7.39,374.29,75,90.00,446.40,464.29,453.79,false,false
2,16,"• Toulon: Dive into the underwater world with scuba diving excursions to explore",11.95,7.39,419.17,80,90.00,471.60,509.17,478.99,false,false
2,17,"wrecks.",12.00,7.38,40.39,7,108.00,488.70,148.39,496.08,false,false
2,18,"• Cerbère-Banyuls: Visit the marine reserve for an unforgettable diving experience.",11.95,7.39,428.53,83,90.00,513.90,518.53,521.29,false,false
2,19,"• Mediterranean Coast: Charter a yacht or join a sailing tour to explore the coastline",11.95,7.39,434.00,86,90.00,539.16,524.00,546.55,false,false
2,20,"and nearby islands.",12.00,7.38,99.01,19,108.00,556.26,207.01,563.64,false,false
2,21,"• Marseille: Go windsurfing or kitesurfing in the windy bays.",11.93,7.39,313.51,61,90.00,581.46,403.51,588.85,false,false
2,22,"• Port Grimaud: Rent a paddleboard and explore the canals of this picturesque village.",11.95,7.39,445.09,86,90.00,606.66,535.09,614.05,false,false
2,23,"• La Ciotat: Try snorkeling in the clear waters around the Île Verte.",11.94,7.39,343.21,69,90.00,631.92,433.21,639.31,false,false
2,24,"",12.00,8.59,3.34,0,72.00,657.12,75.34,665.71,true,false
2,25,"",12.00,7.39,2.74,0,216.00,657.12,218.74,664.51,true,false
3,0,"Cultural Experiences",12.00,7.39,109.60,20,72.00,83.88,181.60,91.27,true,false
3,1,"The South of France is rich in history and culture. Here are some activities to immerse yourself in the region's heritage:",12.00,24.48,428.18,122,72.00,108.90,500.18,133.38,false,false
3,2,"Art and Museums",12.00,7.39,94.48,15,72.00,151.20,166.48,158.59,true,false
3,3,"• Nice: Visit the Musée Matisse dedicated to the works of Henri Matisse.",11.95,7.39,374.47,72,90.00,176.34,464.47,183.73,false,false
3,4,"• Antibes: Explore the Musée Picasso housed in the Château Grimaldi.",11.94,7.39,366.43,68,90.00,201.54,456.43,208.93,false,false
3,5,"• Saint-Paul-de-Vence: Discover modern art at the Fondation Maeght.",11.94,7.39,365.65,67,90.00,226.74,455.65,234.13,false,false
3,6,"• Aix-en-Provence: Visit the Atelier Cézanne the studio of the famous painter Paul",11.95,7.39,425.71,82,90.00,252.00,515.71,259.39,false,false
3,7,"Cézanne.",12.00,7.38,48.43,8,108.00,269.10,156.43,276.48,false,false
3,8,"• Arles: Explore the Fondation Vincent van Gogh showcasing works inspired by the",11.95,7.39,430.81,80,90.00,294.30,520.81,301.69,false,false
3,9,"artist.",12.00,7.38,31.15,7,108.00,311.40,139.15,318.78,false,false
3,10,"• Marseille: Visit the MuCEM (Museum of European and Mediterranean Civilizations)",11.95,7.39,437.84,81,90.00,336.60,527.84,343.99,false,false
3,11,"for a deep dive into the region's history.",12.00,7.38,200.05,42,108.00,353.70,308.05,361.08,false,false
3,12,"• Toulouse: Discover the Musée des Augustins a fine arts museum housed in a former",11.95,7.39,443.60,82,90.00,378.96,533.60,386.35,false,false
3,13,"convent.",12.00,7.38,45.97,8,108.00,396.06,153.97,403.44,false,false
3,14,"Historical Sites",12.00,7.39,79.60,16,72.00,421.26,151.60,428.65,true,false
3,15,"• Nîmes: Walk across the ancient Roman aqueduct Pont du Gard.",11.94,7.39,341.05,61,90.00,446.40,431.05,453.79,false,false
3,16,"• Avignon: Explore the largest Gothic palace in Europe Palais des Papes.",11.95,7.39,375.31,72,90.00,471.60,465.31,478.99,false,false
3,17,"• Carcassonne: Wander through the medieval citadel with its double walls and 52",11.95,7.39,420.43,79,90.00,496.80,510.43,504.19,false,false
