page,block,heading,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,H1,ArgparseTutorial,24,14.87,202.88,16,320.42,118.96,523.3,133.83,TRUE,FALSE
1,2,H2,GuidovanRossumandthePythondevelopmentteam,14,8.61,364.58,41,158.71,184.76,523.29,193.37,TRUE,FALSE
1,4,H2,Contents,14,8.61,61.57,8,72,292.8,133.57,301.4,TRUE,FALSE
2,0,H2,1Concepts,14,8.61,80.27,9,72,84.55,152.27,93.16,TRUE,FALSE
2,4,H2,2Thebasics,14,8.61,89.05,10,72,534,161.05,542.61,TRUE,FALSE
3,4,H2,3IntroducingPositionalarguments,14,8.61,240.39,31,72,255.67,312.39,264.28,TRUE,FALSE
4,13,H2,4IntroducingOptionalarguments,14,8.61,231.07,29,72,688.74,303.07,697.34,TRUE,FALSE
6,8,H2,5CombiningPositionalandOptionalarguments,14,8.61,327.24,40,72,493.15,399.24,501.75,TRUE,FALSE
10,12,H2,6Gettingalittlemoreadvanced,14,8.61,218.77,27,72,413.07,290.77,421.68,TRUE,FALSE
13,9,H2,7Howtotranslatetheargparseoutput,14,8.61,262.81,32,72,384.98,334.81,393.59,TRUE,FALSE
14,2,H2,8Customtypeconverters,14,8.61,177.68,21,72,188.11,249.68,196.72,TRUE,FALSE
14,14,H2,9Conclusion,14,8.61,91.57,11,72,641.34,163.57,649.95,TRUE,FALSE
1,1,H3,Release3.13.3,11,7.17,81.51,13,441.77,140.05,523.28,147.23,TRUE,TRUE
11,8,H3,6.1Specifyingambiguousarguments,11,7.17,213.03,31,72,485.28,285.03,492.46,TRUE,FALSE
12,0,H3,6.2Conflictingoptions,11,7.17,129.44,21,72,81.96,201.44,89.14,TRUE,FALSE
1,3,BODY,"April27,2025 PythonSoftwareFoundation Email:docs@python.org",9,35.86,134.38,59,388.9,229.29,523.28,265.15,TRUE,FALSE
1,5,BODY,1Concepts 2Thebasics 3IntroducingPositionalarguments 4IntroducingOptionalarguments,9,71.73,157.01,82,72,326.33,229.01,398.06,TRUE,FALSE
