page,block,heading,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,BODY,arXiv:2507.13040v1  [gr-qc]  17 Jul 2025,20,11.16,334.96,40,253.47,32,588.43,43.16,FALSE,FALSE
1,1,H1,AREA-CHARGEINEQUALITIESANDRIGIDITYOF,10,5.45,318.08,36,138.6,158.93,456.68,164.38,FALSE,FALSE
1,2,H1,TIME-SYMMETRICINITIALDATASETS,10,5.45,250.24,29,172.52,172.88,422.76,178.33,FALSE,FALSE
1,3,H2,TIARLOSCRUZANDABRAÃOMENDES,8,4.48,181.85,27,206.71,202.76,388.56,207.25,FALSE,FALSE
1,4,BODY,"Abstract.Inthispaper,weestablishnewarea-chargeinequalitiesfor theboundaryoftime-symmetricEinstein-Maxwellinitialdatasets,in bothcompactandnoncompactcases,underthedominantenergycon- dition.Theseinequalitiesleadtonovelrigiditytheoremswithnoana- loguesintheunchargedsetting.Inthenoncompactcase,ourresultis obtainedbyapplyingGromov’sµ-bubbletechniqueinanewgeometric context.",8,70.24,286.93,370,154.18,230.83,441.1,301.07,FALSE,FALSE
1,5,H2,1.Introduction,10,5.45,88.08,14,253.6,341.44,341.68,346.9,FALSE,FALSE
1,6,BODY,"Inequalitiesrelatingthephysicalquantitiesofblackholes–suchasmass, charge,andangularmomentum–havebeenacentraltopicinmathemati- calrelativityandgeometricanalysis.Numerousworkshaveexploredthe geometricandphysicalconstraintsarisingfromtheinterplayamongthese quantitiesandthehorizonarea,particularlyinthecontextofstablemini- malsurfaces,whichareespeciallysignificantduetotheirvariationalcharac- terization(see,e.g.,[15,29]).Additionalcontributionsincludestudieson isoperimetricsurfaces[12],stablemarginallyoutertrappedsurfaces(MOTS) [32],andmin-maxconstructionsleadingtoarea-chargeinequalities[10].For acomprehensiveoverviewoftheseandothergeometricinequalities,werefer thereaderto[11]. Usingvariationalandminimalsurfacetechniques,weestablishsharparea- chargeestimatesfortime-symmetricchargedinitialdatasetswithboundary, validacrosscompactandnoncompactsettingswherethedominantenergy conditionholds. ConsideranorientedRiemannian3-manifold(M,g)andavectorfield representingtheelectricfieldE∈X(M).Thetriple(M,g,E)canbe viewedaspartofatime-symmetricinitialdatasetfortheEinstein-Maxwell equations.Inthiscontext,thechargeddominantenergyconditionforthe non-electromagneticmatterfieldsimplies(seeSection2):",10,251.53,358.66,1191,118.31,360.87,476.97,612.4,FALSE,FALSE
1,7,BODY,3,7,3.99,4.23,1,367.86,551.18,372.1,555.17,FALSE,FALSE
1,8,BODY,3,7,3.99,4.23,1,405.87,564.13,410.11,568.12,FALSE,FALSE
1,9,BODY,2,7,3.99,4.23,1,330.86,620.34,335.09,624.32,FALSE,FALSE
1,10,BODY,"Rg≥2Λ+2|E|,",9.73,7.45,81.97,11,256.66,624.84,338.62,632.3,FALSE,FALSE
1,11,BODY,3,7,3.99,4.23,1,301.83,638.7,306.06,642.68,FALSE,FALSE
1,12,BODY,"whereRgisthescalarcurvatureof(M,g)andΛisaconstantrepresenting thecosmologicalconstant.Inthisframework,itisnaturaltoassociate withanyclosedorientableembeddedsurfaceΣ⊂Mthenotionofenclosed 2020MathematicsSubjectClassification.53A10,53C24,49Q05. Keywordsandphrases.Rigidity,Area-minimizingsurfaces,µ-bubbles,Area-charge inequality.",8.99,72.36,358.66,327,118.31,642.65,476.97,715.01,FALSE,FALSE
1,13,BODY,1,7,3.99,4.23,1,295.52,758.68,299.76,762.66,FALSE,FALSE
2,0,BODY,2,7,3.99,4.23,1,118.31,103.14,122.54,107.12,FALSE,FALSE
2,1,BODY,T.CRUZANDA.MENDES,7,3.99,108.02,17,243.63,103.14,351.65,107.12,FALSE,FALSE
2,2,BODY,"charge,definedbythefluxintegral 1 ∫ 4π",10,35.44,189.46,38,118.31,127.05,307.77,162.48,FALSE,FALSE
2,3,BODY,"Q(Σ)=⟨E,N⟩,",10,7.45,103.48,11,245.9,149.55,349.38,157,FALSE,FALSE
2,4,BODY,Σ,7,3.99,6.12,1,307.76,159.44,313.88,163.42,FALSE,FALSE
2,5,BODY,"whereNisaunitnormalvectorfieldalongΣ.AssumingthatdivgE=0, itfollowsfromthedivergencetheoremthatthechargedependsonlyonthe homologyclassofΣ. OurfirstresultestablishesgeometricinequalitiesforchargedRiemannian 3-manifoldswithboundary.GivenaboundarycomponentΣ,thetheorem relatesthecosmologicalconstant,theelectricchargeQ(Σ),andthebound- arygeometry,providingconstraintsontheareaofΣaswellasontheglobal structureofM. Theorem1.Let(M,g,E)beacompactorientableRiemannian3-manifold withboundary,equippedwithadivergence-freevectorfieldErepresentingthe electricfield.Supposethescalarcurvaturesatisfies",10,141.44,358.66,587,118.31,172.54,476.97,313.99,FALSE,FALSE
2,6,BODY,3,7,3.99,4.23,1,218.03,278.67,222.27,282.66,FALSE,FALSE
2,7,BODY,2,7,3.99,4.23,1,330.86,321.51,335.09,325.5,FALSE,FALSE
2,8,BODY,"Rg≥2Λ+2|E|,",9.73,7.45,81.97,11,256.66,326.02,338.62,333.47,FALSE,FALSE
2,9,BODY,"andassumethattheboundary∂Misweaklymean-convex. LetΣbeaconnectedcomponentof∂MsuchthatH2(M,Σ)=0. (1)IfΛ>0,then",9.98,33.62,320.67,108,118.31,343.5,438.98,377.13,FALSE,FALSE
2,10,BODY,2,7,3.99,4.23,1,302.77,380.53,307,384.52,FALSE,FALSE
2,11,BODY,"4ΛQ(Σ)≤1, () 2π Λ |Σ|≥4πQ(Σ).",10,70.37,117.52,29,252.2,385.04,369.72,455.4,FALSE,FALSE
2,12,BODY,and,10,5.45,17.28,3,154.64,400.25,171.93,405.71,FALSE,FALSE
2,13,BODY,√,10,20.36,10.91,1,290.76,405.75,301.67,426.1,FALSE,FALSE
2,14,BODY,2,7,3.99,4.23,1,358.48,412.51,362.71,416.49,FALSE,FALSE
2,15,BODY,|Σ|≥1−1−4ΛQ(Σ).(1.1),10,7.45,254.45,20,222.52,415.66,476.97,423.11,FALSE,FALSE
2,16,BODY,"(2)IfΛ=0,then",10,5.45,85.55,13,135.72,434.59,221.27,440.04,FALSE,FALSE
2,17,BODY,2,7,3.99,4.23,1,326.52,443.45,330.76,447.43,FALSE,FALSE
2,18,BODY,"(1.2) Moreover,ifequalityholdsin(1.1)and(1.2),then(M,g)isisometric totheRiemannianproduct([0,ℓ]×Σ,dt+g0)forsomeℓ>0,wherethe inducedmetricg0onΣhasconstantGaussiancurvatureκg=a+Λ,and E=aN.Ineithercase,thegenusg(Σ)ofΣequalszero,assumingthe equalityholds. TheproofofTheorem1,aswellasthesubsequentresults,reliesona combinationoftechniquesfromGeometricMeasureTheoryandtopological constraints.Thesetoolsenabletheconstructionofarea-minimizingsurfaces, thatis,surfacesthatminimizeareawithinagivenclassofcompetitors. Amongminimalsurfaces,area-minimizingonesplayacentralroleinvarious scalarcurvaturerigidityresults,includingthosein[2,3,4,7,25,30,31,35]. Ingeneral,whenthechargevanishes,mostexistingresultsrecoverclas- sicalRiemannianconclusions.However,theresultspresentedherehaveno counterpartinthepurelyRiemanniansetting,exceptforthecasewhen Λ<0andg(Σ)≥2inthenexttheorem,whichrecovers[31,Theorem5]. Wenowextendouranalysistothecaseofanegativecosmologicalconstant Λ<0.Beforestatingournextresult,letusrecallthata3-manifoldMis irreducibleifeveryembedded2-sphereinMboundsanembedded3-ball, andasurfaceΣ⊂M,otherthana2-sphere,isincompressibleifitisπ1- injective,thatis,theinducedmapπ1(Σ)→π1(M)isinjective.",9.98,275.22,358.66,1188,118.31,447.95,476.97,723.17,FALSE,FALSE
2,19,BODY,3,7,3.99,4.23,1,397.1,459.21,401.34,463.2,FALSE,FALSE
2,20,BODY,2,7,3.99,4.23,1,313.49,472.16,317.72,476.15,FALSE,FALSE
2,21,BODY,2,7,3.99,4.23,1,426.29,485.11,430.53,489.1,FALSE,FALSE
3,0,BODY,AREA-CHARGEINEQUALITIESANDRIGIDITYOFINITIALDATASETS3,7,3.99,330.89,52,146.07,103.14,476.97,107.12,FALSE,FALSE
3,1,BODY,3,7,3.99,4.23,1,218.03,123.09,222.27,127.07,FALSE,FALSE
3,2,BODY,"Theorem2.Let(M,g,E)beacompactorientableRiemannian3-manifold withboundary,equippedwithadivergence-freevectorfieldErepresentingthe electricfield.Supposethescalarcurvaturesatisfies",10,31.36,358.66,177,118.31,127.05,476.97,158.4,FALSE,FALSE
3,3,BODY,2,7,3.99,4.23,1,330.86,165.93,335.09,169.92,FALSE,FALSE
3,4,BODY,"Rg≥2Λ+2|E|,",9.73,7.45,81.97,11,256.66,170.43,338.62,177.88,FALSE,FALSE
3,5,BODY,"forsomeconstantΛ<0,andthattheboundary∂Misweaklymean-convex. LetΣbeaconnectedcomponentof∂M. (1)Ifinf|E|>|Λ|andH2(M,Σ)=0,then",9.97,35.62,358.65,123,118.31,187.92,476.96,223.54,FALSE,FALSE
3,6,BODY,2,7,3.99,4.23,1,195.93,212.13,200.16,216.11,FALSE,FALSE
3,7,BODY,() √ 2π |Λ|,10,27.04,125.16,11,248.38,226.65,373.54,253.69,FALSE,FALSE
3,8,BODY,2,7,3.99,4.23,1,343.51,235.6,347.74,239.59,FALSE,FALSE
3,9,BODY,"|Σ|≥1+4|Λ|Q(Σ)−1.(1.3) (2)IfΣisincompressible,andMisirreducibleanddoesnotcontain",10,29.38,341.25,80,135.72,238.76,476.97,268.13,FALSE,FALSE
3,10,BODY,"anyclosednon-orientableembeddedsurfaces,then",10,5.45,238.36,44,154.64,275.63,393,281.08,FALSE,FALSE
